Item,Description,Reference,Qty,MOQ,Value,Per Unit Price ($),Total Price ($),Footprint,MPN,URL,,,,,
4u7 Capacitor,Unpolarized capacitor,"C1,C2,C3,C4,C5",5,10,4u7,0.0505,0.51,Capacitor_SMD:C_0805_2012Metric,CL21A475KBQNNNE,https://www.lcsc.com/product-detail/C98192.html?s_z=s_c_Ceramic%2520Capacitors&spm=wm.fly.bg.0.xh&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFeXl1XRlNeXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktTRk8GEwkK,,,,,
100n Capacitor,Unpolarized capacitor,"C6,C9,C10",3,10,100n,0.0192,0.19,Capacitor_SMD:C_0201_0603Metric,0805B104K500CT,https://www.lcsc.com/product-detail/C83055.html?s_z=s_c_Ceramic%2520Capacitors&spm=wm.fly.bg.3.xh&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFeXl1XRlNeXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktTRk8GEwkK,,,,,
Capacitor,Unpolarized capacitor,"C7,C8,R4",3,100,0n,0.0052,0.52,Capacitor_SMD:C_0201_0603Metric,TCC0805X7R501K500DT,https://www.lcsc.com/product-detail/C5375938.html?spm=wm.fly.bg.3.xh&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFfV1ZVTlNXVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D,,,,,
ESD Diode,"Low capacitance unidirectional ESD protection diode, 5V, SOD-882D",D1,1,5,PESD5V0L1ULD,0.0978,0.49,Diode_SMD:D_SOD-882D,"PESD5V0L1ULD,315",https://www.lcsc.com/product-detail/C552557.html?s_z=s_p_PESD5V0L1ULD%252C315&spm=wm.fly.bg.0.xh&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFfV1dXRVBfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,,,,,
USB-C Receptacle,USB 2.0-only 16P Type-C Receptacle connector,J1,1,5,USB_C_Receptacle_USB2.0_16P,0.099,0.5,Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV,USB-TYPE-C-016,https://www.lcsc.com/product-detail/C2927036.html?s_z=s_p_USB-TYPE-C-016&spm=wm.fly.bg.0.xh&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFfV1BWRlFcVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,,,,,
1x08 Connector,"Generic connector, single row, 01x08","J2,J3",2,5,Conn_01x08_Pin,0.558,2.79,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,N/A,https://www.aliexpress.us/item/3256807202794047.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.3.5ee0z10vz10vCf&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=f02ca764-02d9-42b0-aa3a-38bc3d3eef3d&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3Af02ca764-02d9-42b0-aa3a-38bc3d3eef3d%2Ctpp_buckets%3A668%232846%238111%231996&pdp_ext_f=%7B%22order%22%3A%2215779%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%211.66%211.64%21%21%211.66%211.64%21%402103128917820104935402726e66ac%2112000040551940967%21rec%21US%217756416958%21X%211%210%21n_tag%3A-29911%3Bd%3A882c3b75%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005007389108799%7C_p_origin_prod%3A,,,,,
Resistor,Resistor,"R1,R2",2,100,5k1,0.0022,0.22,Resistor_SMD:R_0805_2012Metric,FRC0805J512TS,https://www.lcsc.com/product-detail/C2930296.html?s_z=s_q_t_RESISTOR&spm=wm.fly.bg.1.xh___wm.ssy.tc.0.tz&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFfV1JWT1RdVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRR1NADxALGw%3D%3D,,,,,
Resistor,Resistor,R3,1,100,0R,0.003,0.3,Resistor_SMD:R_0805_2012Metric,0805W8F0000T5E,https://www.lcsc.com/product-detail/C17477.html?s_z=s_q_t_RESISTOR&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFfV1JWT1RdVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRR1NADxALGw%3D%3D,,,,,
Resistor,Resistor,"R5,R7,R8,R9",4,100,10k,0.0031,0.31,Capacitor_SMD:C_0201_0603Metric,FRC0805J103TS,https://www.lcsc.com/product-detail/C2930231.html?s_z=s_q_t_RESISTOR&spm=wm.fly.bg.1.xh___wm.ssy.tc.0.tz&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFfV1JWT1RdVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRR1NADxALGw%3D%3D,,,,,
Resistor,Resistor,"R4, R6",2,100,100R,0.0031,0.31,Capacitor_SMD:C_0201_0603Metric,FRC0805J101 TS,https://www.lcsc.com/product-detail/C2907294.html?spm=wm.fly.bg.1.xh&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFfV1xeTlRYUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D,,,,,
Push Button,"Push button switch, generic, two pins","SW1,SW2",2,10,SW_Push,0.053,0.53,Button_Switch_SMD:SW_SPST_B3U-1000P,TS-1088-AR02016,https://www.lcsc.com/product-detail/C720477.html?s_z=s_q_p_PUSH%2520BUTTON%2520SWITCH&spm=wm.ssy.bg.0.xh&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFeVVRfQVlaXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktfQVlADxALGw%3D%3D,,,,,
ESD Diode,"Very low capacitance ESD protection diode, 2 data-line, SOT-23-6",U1,1,10,USBLC6-2SC6,0.041,0.41,Package_TO_SOT_SMD:SOT-23-6,USBLC6-2SC6,https://www.lcsc.com/product-detail/C2827654.html?s_z=s_p_USBLC6-2SC6&spm=wm.fly.bg.1.xh&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFfVlRVQFJeVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,,,,,
Linear Regulator,"600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5",U2,1,5,AP2112K-3.3,0.1093,0.55,Package_TO_SOT_SMD:SOT-23-5,AP2112K-3.3TRG1,https://www.lcsc.com/product-detail/C23380830.html?s_z=s_q_AP2112K-3.3&spm=wm.fly.bg.1.xh&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFfVlReQ1BZXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,,,,,
ESP32-C3,"802.11 b/g/n Wi­Fi and Bluetooth 5 module, ESP32­C3 SoC, RISC­V microprocessor, On-board antenna",U3,1,1,ESP32-C3-WROOM-02,3.33,3.33,RF_Module:ESP32-C3-WROOM-02,ESP32-C3-WROOM-02-H4,https://www.lcsc.com/product-detail/C2944070.html?s_z=n_q_ESP32-C3-WROOM-02&spm=wm.fly.bg.1.xh&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFfVlVSQFZYXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVJdX1ReRFFADxALGw%3D%3D,,,,,
Crystal,Two pin crystal,Y1,1,5,32.768kHz,0.2461,1.23,Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm,3608S-32.768DTTLLL-R35L,https://www.lcsc.com/product-detail/C42392410.html?s_z=n_q_t_crystal&spm=wm.fly.bg.4.xh___wm.ssy.tc.0.tz&lcsc_vid=QQVaAVJeTlJdUVBVE1hcBVFWEwcNBVxeQwAPA1YHFQMxVlNeRVFfVlZUQ1VYUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVhaU1RRR08GEwkK,,,,,
Total,,,30,566,,,12.19,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
